ejercicio,ordencompra,fecha,importe,proveedor,dependencia,expediente
2024,7486,21-10-2024,34771.54,PROMAR S.R. L,DIRECCION GENERAL DE EDUCACION,Suministro 7507/2024
2024,7497,22-10-2024,281500000.0,SOLUCIONES TURISTICAS SRL.,INSTITUTO DEL DEPORTE,Suministro 5536/2024
2024,307,30-01-2024,743544.0,NAVARRETE YAMILA MALENA,SEC. DE OBRAS Y SERVICIOS PUBLICOS,Suministro 393/2024
2024,1739,25-03-2024,205000.0,ACQUAMANSA,TEATRO MUNICIPAL,Suministro 2210/2024
2024,2991,15-05-2024,193347.88,CODIMAT S.A.,DIRECCION GENERAL DE DISCAPACIDAD Y ACCESIBILIDAD,Suministro 3344/2024
2024,434,07-02-2024,1250000.0,CACU CLIMATIZACION,SEC. DE SALUD,Suministro 402/2024
2024,7013,30-09-2024,1050000.0,COPYFAX FOTOCOPIADORAS S.R.L.,TRIBUNAL DE FALTAS,Suministro 7082/2024
2024,7617,25-10-2024,163500.0,GRUPO BAHIA BLANCA,DEPARTAMENTO TALLERES Y MAESTRANZA,Suministro 7645/2024
2024,7659,29-10-2024,1155000.0,MEDICA BAHIA,SEC. DE SALUD,Suministro 7665/2024
2024,896,29-02-2024,585774.99,GAVILAN MONICA PATRICIA,MAMAS CUIDADORAS,Suministro 1026/2024
2024,936,29-02-2024,1203125.0,ABARZUA WANDA CARMEN GRACIELA,SEC. DE SALUD,Suministro 1289/2024
2024,3871,04-06-2024,1687000.0,RASQUETE MARIO CESAR,JEFATURA DE GABINETE Y GOBIERNO,Suministro 4082/2024
2024,4636,10-07-2024,2797900.0,LA CANTERA DE IGNACIO DOBRY,HOGAR DEL ADOLESCENTE,Suministro 4981/2024
2024,5300,07-08-2024,3449820.0,COOPERATIVA AGRICOLA GANADERA E INDUSTRIAL SOMBRA DE TORO LIMITADA,DEPARTAMENTO TALLERES Y MAESTRANZA,Suministro 5514/2024
2024,6368,06-09-2024,30034.0,LA CASA DEL CARTUCHO - LUIS J. DREVNIAK MATERIALES ELECTRICOS,DIVISION DE ACCESIBILIDAD E INLCUSION,Suministro 6170/2024
2024,6547,13-09-2024,102526.0,DISMAR,TEATRO MUNICIPAL,Suministro 5913/2024
2024,1453,12-03-2024,521218.0,LA MOLIENDA,"SUBSECR. DE NINEZ, ADOLESC. Y FAMILIA",Suministro 744/2024
2024,3432,30-05-2024,58800.0,REPUESTOS TATO,DEPARTAMENTO TALLERES Y MAESTRANZA,Suministro 3519/2024
2024,3434,30-05-2024,959400.0,EQUIVIAL SUDAMERICANA S.A.,DEPARTAMENTO TALLERES Y MAESTRANZA,Suministro 3519/2024
2024,3435,30-05-2024,180000.0,OLEOHIDRAULICA ELOY J COLANTONIO,DEPARTAMENTO TALLERES Y MAESTRANZA,Suministro 3519/2024
2024,1084,29-02-2024,1794000.0,FIORENTINI LORENA VANESA,INTENDENCIA,Suministro 1619/2024
2024,1109,29-02-2024,825000.0,GONZALEZ MARIA JOSEFINA,"SUBSECR. DE NINEZ, ADOLESC. Y FAMILIA",Suministro 1044/2024
2024,1125,29-02-2024,517500.0,FINAL CONTENIDOS S.A.,INTENDENCIA,Suministro 1696/2024
2024,1299,05-03-2024,315000.0,DUPLICENTRO MITRE S.A.,INSTITUTO DEL DEPORTE,Suministro 1314/2024
2024,1617,19-03-2024,63087.98,MARCAS INDUSTRIALES,INSTITUTO DEL DEPORTE,Suministro 1805/2024
2024,1627,19-03-2024,118335.0,LA MOLIENDA,DIRECCION GENERAL DE EDUCACION,Suministro 1961/2024
